round,steps,coins_collected,bombs_dropped,crates_destroyed,killed_self,invalid_actions,kills,killed_by_opponent,total_reward,epsilon
1644,34,1,4,12,1,0,0,0,-57.0,0.2134
1645,51,1,5,13,0,0,0,1,-97.0,0.2131
1646,17,1,2,6,1,0,0,0,-61.0,0.2129
1647,5,0,1,4,1,0,0,0,-66.0,0.2127
1648,78,1,7,12,0,1,0,1,-138.0,0.2125
1649,53,1,6,13,1,0,0,0,-99.0,0.2123
1650,40,3,4,14,1,0,0,0,-42.0,0.2121
1651,90,4,9,23,1,1,0,0,-148.0,0.2119
1652,182,2,13,27,1,0,0,0,-389.0,0.2117
1653,62,0,6,16,1,1,0,0,-124.0,0.2114
1654,179,5,15,29,1,0,0,0,-319.0,0.2112
1655,75,1,5,22,1,0,0,0,-108.0,0.211
1656,29,1,3,10,1,0,0,0,-66.0,0.2108
1657,39,1,4,14,1,0,0,0,-83.0,0.2106
1658,80,2,4,10,1,1,0,0,-130.0,0.2104
1659,6,0,1,2,1,0,0,0,-39.0,0.2102
1660,7,0,1,3,1,0,0,0,-50.0,0.21
1661,7,0,1,3,1,0,0,0,-47.0,0.2098
1662,6,0,1,3,1,0,0,0,-36.0,0.2096
1663,60,2,4,12,1,0,0,0,-181.0,0.2093
1664,33,1,4,17,0,0,0,1,-25.0,0.2091
1665,108,3,11,31,1,1,0,0,-198.0,0.2089
1666,219,2,19,41,0,2,0,1,-388.0,0.2087
1667,29,1,3,8,1,0,0,0,-69.0,0.2085
1668,30,0,4,12,1,0,0,0,-119.0,0.2083
1669,89,1,7,24,1,0,0,0,-177.0,0.2081
1670,21,0,3,9,1,0,0,0,-70.0,0.2079
1671,5,0,1,2,1,0,0,0,-72.0,0.2077
1672,14,0,2,8,1,0,0,0,-74.0,0.2075
1673,13,0,2,8,1,0,0,0,-63.0,0.2073
1674,74,2,8,19,1,0,0,0,-140.0,0.2071
1675,28,2,3,6,1,0,0,0,-70.0,0.2068
1676,5,0,1,3,1,0,0,0,-69.0,0.2066
1677,6,0,1,2,1,0,0,0,-39.0,0.2064
1678,7,0,1,3,1,0,0,0,-34.0,0.2062
1679,21,0,3,10,1,0,0,0,-79.0,0.206
1680,162,2,13,29,1,2,1,0,-257.0,0.2058
1681,195,4,14,20,0,2,0,1,-450.0,0.2056
1682,21,0,3,10,1,0,0,0,-74.0,0.2054
1683,5,0,1,2,1,0,0,0,-28.0,0.2052
1684,25,1,3,8,1,0,0,0,-90.0,0.205
1685,56,0,7,17,1,0,0,0,-174.0,0.2048
1686,7,0,1,3,1,0,0,0,-34.0,0.2046
1687,40,1,4,13,1,0,1,0,-80.0,0.2044
1688,42,1,5,12,1,0,0,0,-63.0,0.2042
1689,25,1,3,7,1,0,0,0,-87.0,0.204
1690,51,0,4,9,1,0,0,0,-118.0,0.2038
1691,196,2,15,24,1,1,0,0,-532.0,0.2036
1692,7,0,1,1,1,0,0,0,-50.0,0.2034
1693,36,0,5,12,1,0,0,0,-79.0,0.2032
1694,14,0,2,4,1,0,0,0,-98.0,0.2029
1695,44,0,6,11,1,0,0,0,-111.0,0.2027
1696,47,2,6,18,1,0,0,0,-72.0,0.2025
1697,67,2,7,17,1,0,0,0,-226.0,0.2023
1698,115,0,10,30,1,2,1,0,-186.0,0.2021
