round,steps,coins_collected,epsilon
161,400,23,0.9408
162,400,20,0.9399
163,400,32,0.9389
164,400,25,0.938
165,400,26,0.937
166,400,34,0.9361
167,400,20,0.9352
168,400,27,0.9342
169,400,28,0.9333
170,400,19,0.9324
171,400,18,0.9314
172,400,25,0.9305
173,400,30,0.9296
174,400,18,0.9286
175,400,30,0.9277
176,400,29,0.9268
177,400,18,0.9259
178,400,31,0.9249
179,400,15,0.924
180,400,17,0.9231
181,400,20,0.9222
182,400,25,0.9212
183,400,21,0.9203
184,400,29,0.9194
185,400,19,0.9185
186,400,27,0.9176
187,400,31,0.9166
188,400,34,0.9157
189,400,25,0.9148
190,400,28,0.9139
191,400,25,0.913
192,400,35,0.9121
193,400,18,0.9112
194,400,31,0.9102
195,400,25,0.9093
196,400,32,0.9084
197,400,28,0.9075
198,400,21,0.9066
199,400,24,0.9057
200,400,22,0.9048
201,400,36,0.9039
202,400,19,0.903
203,400,24,0.9021
204,400,27,0.9012
205,400,40,0.9003
206,400,20,0.8994
207,400,31,0.8985
208,400,32,0.8976
209,400,29,0.8967
210,400,24,0.8958
211,400,22,0.8949
212,400,20,0.894
213,400,23,0.8931
214,400,33,0.8922
215,400,27,0.8913
216,400,16,0.8904
217,400,28,0.8895
218,400,17,0.8886
219,400,30,0.8878
220,400,31,0.8869
221,400,25,0.886
222,400,37,0.8851
223,400,27,0.8842
224,400,24,0.8833
225,400,43,0.8824
226,400,28,0.8816
227,400,16,0.8807
228,400,34,0.8798
229,400,29,0.8789
230,400,17,0.878
231,400,21,0.8772
232,400,17,0.8763
233,400,31,0.8754
234,400,29,0.8745
235,400,32,0.8737
236,400,41,0.8728
237,400,28,0.8719
238,400,21,0.871
239,400,31,0.8702
240,400,22,0.8693
241,400,25,0.8684
242,400,34,0.8676
243,400,10,0.8667
244,400,16,0.8658
245,400,31,0.865
246,400,35,0.8641
247,400,36,0.8632
248,400,24,0.8624
249,400,25,0.8615
250,400,23,0.8606
251,400,23,0.8598
252,400,37,0.8589
253,400,28,0.8581
254,400,19,0.8572
255,400,29,0.8563
256,400,21,0.8555
257,400,25,0.8546
258,400,31,0.8538
259,400,29,0.8529
260,400,36,0.8521
261,400,33,0.8512
262,400,39,0.8504
263,400,14,0.8495
264,400,28,0.8487
265,400,37,0.8478
266,400,38,0.847
267,400,33,0.8461
268,400,9,0.8453
269,400,39,0.8444
270,400,32,0.8436
271,400,30,0.8427
272,400,17,0.8419
273,400,16,0.8411
274,400,35,0.8402
275,400,27,0.8394
276,400,21,0.8385
277,400,31,0.8377
278,400,36,0.8369
279,400,24,0.836
280,400,23,0.8352
281,400,24,0.8344
282,400,35,0.8335
283,400,21,0.8327
284,400,33,0.8319
285,400,41,0.831
286,400,5,0.8302
287,400,36,0.8294
288,400,30,0.8285
289,400,25,0.8277
290,400,38,0.8269
291,400,30,0.8261
292,400,26,0.8252
293,400,25,0.8244
294,400,18,0.8236
295,400,20,0.8228
296,400,14,0.8219
297,400,38,0.8211
298,400,30,0.8203
299,400,34,0.8195
300,400,15,0.8186
301,400,16,0.8178
302,400,10,0.817
303,400,25,0.8162
304,400,43,0.8154
305,400,22,0.8146
306,400,41,0.8137
307,400,30,0.8129
308,400,11,0.8121
309,400,41,0.8113
310,400,38,0.8105
311,400,44,0.8097
312,400,16,0.8089
313,400,21,0.8081
314,400,27,0.8073
315,400,25,0.8065
316,400,39,0.8056
317,400,36,0.8048
318,400,34,0.804
319,400,11,0.8032
320,400,22,0.8024
321,400,14,0.8016
322,400,37,0.8008
323,400,48,0.8
324,400,46,0.7992
325,400,7,0.7984
326,400,29,0.7976
327,400,12,0.7968
328,400,19,0.796
329,400,30,0.7952
330,400,37,0.7944
331,400,30,0.7936
332,400,33,0.7929
333,400,18,0.7921
334,400,36,0.7913
335,400,37,0.7905
336,400,20,0.7897
337,400,31,0.7889
338,400,36,0.7881
339,400,41,0.7873
340,400,40,0.7865
341,400,20,0.7857
342,400,27,0.785
343,400,40,0.7842
344,400,46,0.7834
345,400,18,0.7826
346,400,40,0.7818
347,400,17,0.781
348,400,25,0.7803
349,400,43,0.7795
350,400,24,0.7787
351,400,14,0.7779
352,400,20,0.7771
353,400,43,0.7764
354,400,32,0.7756
355,400,31,0.7748
356,400,27,0.774
357,400,18,0.7733
358,400,39,0.7725
359,400,17,0.7717
360,400,12,0.771
361,400,35,0.7702
362,400,28,0.7694
363,400,16,0.7686
364,400,39,0.7679
365,400,30,0.7671
366,400,12,0.7663
367,400,43,0.7656
368,400,40,0.7648
369,400,38,0.764
370,400,40,0.7633
371,400,44,0.7625
372,400,41,0.7618
373,400,23,0.761
374,400,20,0.7602
375,400,44,0.7595
376,400,24,0.7587
377,400,47,0.7579
378,400,30,0.7572
379,400,40,0.7564
380,400,36,0.7557
381,400,16,0.7549
382,400,23,0.7542
383,400,18,0.7534
384,400,37,0.7527
385,400,29,0.7519
386,400,35,0.7512
387,400,7,0.7504
388,400,45,0.7497
389,400,47,0.7489
390,400,21,0.7482
391,400,46,0.7474
392,400,39,0.7467
393,400,44,0.7459
394,400,47,0.7452
395,400,38,0.7444
396,400,47,0.7437
397,400,15,0.7429
398,400,43,0.7422
399,400,28,0.7414
400,396,50,0.7407
401,400,14,0.74
402,400,38,0.7392
403,400,22,0.7385
404,400,17,0.7377
405,400,14,0.737
406,400,17,0.7363
407,400,42,0.7355
408,400,27,0.7348
409,400,44,0.7341
410,400,45,0.7333
411,400,42,0.7326
412,400,16,0.7319
413,400,28,0.7311
414,400,44,0.7304
415,400,22,0.7297
416,400,12,0.7289
417,400,16,0.7282
418,400,48,0.7275
419,400,23,0.7268
420,400,15,0.726
421,400,28,0.7253
422,400,42,0.7246
423,400,14,0.7239
424,400,6,0.7231
425,400,45,0.7224
426,400,17,0.7217
427,400,37,0.721
428,400,23,0.7202
429,400,11,0.7195
430,400,46,0.7188
431,400,44,0.7181
432,400,19,0.7174
433,400,44,0.7167
434,400,15,0.7159
435,400,47,0.7152
436,400,47,0.7145
437,400,47,0.7138
438,400,46,0.7131
439,400,32,0.7124
440,400,17,0.7116
441,400,22,0.7109
442,400,14,0.7102
443,400,8,0.7095
444,400,29,0.7088
445,400,26,0.7081
446,400,45,0.7074
447,400,33,0.7067
448,400,12,0.706
449,400,44,0.7053
450,400,49,0.7046
451,400,46,0.7039
452,318,50,0.7032
453,400,37,0.7025
454,400,10,0.7018
455,400,47,0.701
456,400,15,0.7003
457,400,44,0.6996
458,400,46,0.6989
459,400,23,0.6982
460,400,10,0.6976
461,303,50,0.6969
462,400,22,0.6962
463,400,49,0.6955
464,400,8,0.6948
465,400,27,0.6941
466,400,9,0.6934
467,400,40,0.6927
468,370,50,0.692
469,400,22,0.6913
470,388,50,0.6906
471,400,22,0.6899
472,400,10,0.6892
473,400,48,0.6885
474,400,40,0.6878
475,369,50,0.6872
476,400,17,0.6865
477,400,17,0.6858
478,400,18,0.6851
479,400,18,0.6844
480,400,21,0.6837
481,400,19,0.683
482,400,19,0.6824
483,400,28,0.6817
484,400,44,0.681
485,353,50,0.6803
486,400,33,0.6796
487,400,12,0.679
488,400,48,0.6783
489,400,18,0.6776
490,400,12,0.6769
491,400,49,0.6762
492,400,6,0.6756
493,400,46,0.6749
494,400,47,0.6742
495,400,7,0.6735
496,400,9,0.6729
497,400,43,0.6722
498,400,33,0.6715
499,400,38,0.6709
500,400,7,0.6702
501,400,19,0.6695
502,400,47,0.6688
503,400,10,0.6682
504,400,36,0.6675
505,400,24,0.6668
506,400,21,0.6662
507,400,18,0.6655
508,359,50,0.6648
509,400,35,0.6642
510,400,35,0.6635
511,400,48,0.6629
512,400,29,0.6622
513,400,22,0.6615
514,400,30,0.6609
515,400,32,0.6602
516,400,28,0.6595
517,400,16,0.6589
518,305,50,0.6582
519,400,20,0.6576
520,400,18,0.6569
521,400,28,0.6563
522,400,29,0.6556
523,384,50,0.6549
524,400,36,0.6543
525,400,49,0.6536
526,395,50,0.653
527,359,50,0.6523
528,400,19,0.6517
529,400,30,0.651
530,400,33,0.6504
531,400,19,0.6497
532,400,18,0.6491
533,400,9,0.6484
534,400,39,0.6478
535,400,15,0.6471
536,400,11,0.6465
537,400,8,0.6458
538,325,50,0.6452
539,400,20,0.6445
540,400,12,0.6439
541,400,39,0.6433
542,398,50,0.6426
543,400,16,0.642
544,400,36,0.6413
